"subj_idx","gender","year","material","朋友_match","生人_match","自我_match","朋友_mismatch","生人_mismatch","自我_mismatch"
1,1,"2001",1,0.8333333333333334,0.7333333333333333,0.95,0.7333333333333333,0.9666666666666667,0.7666666666666667
2,0,"2002",1,0.8333333333333334,0.7833333333333333,0.9666666666666667,0.9833333333333333,0.8666666666666667,0.7666666666666667
3,0,"2000",1,0.9666666666666667,0.9666666666666667,0.95,0.8833333333333333,0.9833333333333333,0.8666666666666667
4,1,"2001",1,0.9833333333333333,0.9333333333333333,0.9333333333333333,0.95,1,0.9666666666666667
5,1,"1998",1,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.9,0.9166666666666666,0.7666666666666667
6,1,"2001",1,0.95,1,1,0.9166666666666666,1,0.9333333333333333
7,0,"2005",1,0.9833333333333333,0.8833333333333333,0.95,1,0.8666666666666667,0.9166666666666666
8,1,"2002",1,0.9,0.6,0.9833333333333333,0.7333333333333333,0.7,0.65
9,1,"2002",1,0.9333333333333333,0.95,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.85
10,1,"2001",1,0.8166666666666667,0.9333333333333333,0.9833333333333333,0.8333333333333334,0.9166666666666666,0.9666666666666667
11,1,"2000",1,0.8333333333333334,0.8333333333333334,0.7166666666666667,0.8666666666666667,0.9,0.7166666666666667
12,1,"2000",1,0.9833333333333333,0.9,1,0.9666666666666667,1,0.95
