"subj_idx","gender","year","material","condition","朋友","生人","自我"
13,1,"2001",2,"classify_self",0.8888888888888888,0.9777777777777777,0.9666666666666667
14,1,"1999",2,"classify_self",0.9,0.9333333333333333,0.9666666666666667
15,0,"2001",2,"classify_self",0.9111111111111111,0.9444444444444444,0.9222222222222223
16,1,"2001",2,"classify_self",0.9111111111111111,0.9222222222222223,0.9777777777777777
17,1,"2001",2,"classify_friend",0.9333333333333333,0.9444444444444444,0.9444444444444444
18,1,"2002",2,"classify_friend",0.9444444444444444,0.9666666666666667,0.9333333333333333
19,1,"2000",2,"classify_friend",1,0.9444444444444444,0.9555555555555556
20,1,"2001",2,"classify_friend",0.9888888888888889,0.9666666666666667,0.9666666666666667
21,1,"1997",2,"classify_stranger",0.9888888888888889,1,0.9777777777777777
22,0,"2005",2,"classify_stranger",1,0.9888888888888889,1
23,0,"2001",2,"classify_stranger",1,0.9444444444444444,0.9222222222222223
24,1,"2001",2,"classify_stranger",0.9666666666666667,0.9333333333333333,0.9666666666666667
