"subj_idx","gender","year","condition","shape","rt"
25,0,"2004","classify_self","朋友",787.9459459459459
25,0,"2004","classify_self","生人",826.3333333333334
25,0,"2004","classify_self","自我",779.5302013422819
26,1,"2002","classify_self","朋友",776.6266666666667
26,1,"2002","classify_self","生人",788.7341772151899
26,1,"2002","classify_self","自我",759.3949044585987
27,0,"2000","classify_friend","朋友",659.6415094339623
27,0,"2000","classify_friend","生人",740.9358974358975
27,0,"2000","classify_friend","自我",739.1645569620254
28,1,"2002","classify_friend","朋友",709.031847133758
28,1,"2002","classify_friend","生人",730.3333333333334
28,1,"2002","classify_friend","自我",770.3417721518987
29,1,"2002","classify_stranger","朋友",701.8974358974359
29,1,"2002","classify_stranger","生人",615.5723270440252
29,1,"2002","classify_stranger","自我",707.418918918919
30,0,"2001","classify_stranger","朋友",642.4647887323944
30,0,"2001","classify_stranger","生人",635.5466666666666
30,0,"2001","classify_stranger","自我",670.3857142857142
