"subj_idx","TIR_friend_mismatch","TIR_friend_match","TIR_stranger_mismatch","TIR_stranger_match","TIR_self_mismatch","TIR_self_match","TR_friend_mismatch","TR_friend_match","TR_stranger_mismatch","TR_stranger_match","TR_self_mismatch","TR_self_match"
1,778.0619291601693,769.4876033057851,734.0620408163265,691.3910204081633,737.2629585798817,606.6805555555555,1008.8480321746625,995.6999999999999,866.1799307958477,950.2585034013606,869.7142857142857,636.2309065661575
2,1000.58203125,1054.936979785969,949.5649704142012,965.6316337148803,958.8355029585799,960.2578125,1098.7479224376732,985.5788566503878,857.549387755102,1048.408163265306,1001.109375,919.1111111111111
3,897.5576559546314,783.1228733459357,838.1701323251418,705.8742313033127,993.9408284023668,855.9504132231406,1233.8062809917355,928.4615727333481,1120.4946492271106,1062.6206896551723,1181.7396121883658,865.1758579881657
4,1000.1827465735017,817.7851239669421,837.0467128027682,943.1199999999999,928.86328125,724.6729678638941,1131.0887675955187,1055.6011080332412,982.185941043084,870.3984375,1049.5436710561676,753.4738249053241
5,966.7153116920425,819.827664399093,1008.3309393852342,851.572265625,932.5170653050255,787.936507936508,1386.7421907538526,1058.579081632653,1146.5494214876035,1136.3598615916953,1701.8367346938774,802.9235502958579
8,801.7678770327467,942.6172839506172,802.874582312319,975.4926095135717,787.2832653061224,811.9384615384615,934.8657844990548,1013.5180055401662,1047.404958677686,1031.7420048374092,1027.4214876033059,1279.0829476682093
9,869.0561396548303,796.6726530612244,990.2479338842976,894.2644628099174,1012.1768990634755,912.8875027845845,1120.9795918367347,809.9206049149338,1030.1142857142856,951.446366782007,984.4100346020762,841.504463400119
10,915.8458049886622,715.2391836734695,915.5332544378698,838.6757369614513,686.5416666666666,710.0340264650283,1002.7058823529412,810.4347826086956,1010.9117647058824,961.2698412698412,931.9901982624192,752.0650664550684
11,871.0414600277722,908.455078125,793.7361111111111,852.1221301775147,859.9319470699434,750.1141868512111,918.8657844990547,855.0661617286701,1303.5456000000001,1034.484911550468,1031.5629552549426,1104.79012345679
12,772.7438016528927,737.12109375,779.9338842975208,772.7772781065089,788.90625,645.3223140495868,733.702479338843,666.4671280276817,717.0103806228374,770.2539021852236,850.44,618.5629835350129
13,727.2093425605536,801.4399999999999,752.4462809917355,683.702479338843,778.792899408284,584.3902040816326,826.6920415224913,671.4027777777778,906.2925089179548,780.7334593572779,936.9307670209711,708.6020761245675
14,702.5935727788279,757.4375179546107,670.8783673469388,664.2745562130178,611.6215036699067,706.0384946854352,873.3242630385487,827.6462585034013,778.7977315689981,842.3475546305931,762.3062283737025,677.1227930966078
15,910.1678200692043,771.4710743801653,1053.7050887573964,1031.6932223543402,1135.22,982.9368595041324,1115.1009365244536,920.1514792899409,1175.0739795918366,851.3884297520663,1323.9307958477507,1043.431197931629
16,933.9396462018731,826.0707596253902,878.3574307981726,699.3888888888889,648.7427097798055,597.0555555555555,911.21484375,751.2832653061224,934.6938775510205,820.0075614366729,873.4920710059172,674.1747404844291
17,776.4134948096886,748.5955029585798,731.9902040816327,761.1696149843913,694.1765522713747,730.2131519274377,1038.3822714681442,761.2047226553798,867.523629489603,913.2641762966945,953.384765625,803.8608284023669
18,721.8298676748582,599.6571428571428,659.597698869272,726.837890625,758.5123966942149,591.3697959183673,1040.5983379501386,804.146484375,972.42,1602.508875739645,915.0731360946746,705.0207612456747
19,956.3718820861678,959.1450732548118,1031.0830221200804,914.1043083900228,873.6384083044983,771.6332179930796,1247.7037037037037,922.9387755102041,993.6170414201183,879.446366782007,1012.62,914.3662851196669
20,749.80276816609,714.9557396449704,695.1228733459358,703.201814058957,728.9377162629759,878.6938775510204,891.1966701352757,850.3004568664338,737.5151020408164,938.8561983471075,753.0568055246158,796.0272108843537
21,1163.0486428379468,890.8175540209401,1581.3148788927333,1899.9999999999998,1625.1009506564053,1067.8813735691988,1108.6469405343294,1031.0830221200804,1162.62,1443.5047258979207,1238.4413265306123,799.2817999554466
22,799.8512396694216,738.6384083044983,768.2442603550296,757.546875,746.1652892561984,615.3795918367348,825.4432653061225,755.655157050568,822.7150813098685,969.8199999999999,838.6611570247934,770.9538461538461
23,728.6111111111111,676.6514580440388,776.8961937716264,768.16573847182,778.4952741020794,745.3005671077505,941.8594104308389,828.8264462809917,1006.0263370061812,935.8645525396399,796.0702040816327,753.1505190311418
24,750.8491155046827,636.1349480968858,723.374201183432,596.7637051039696,651.3795918367348,568.7265306122449,829.2607709750566,664.5131360946746,844.56,840.26,805.702479338843,829.3485952133194
25,796.4989349112426,810.5993756503641,733.3606593896191,570.0113421550094,758.4459790599242,594.0113421550094,962.2056198347108,619.6764705882354,837.2789115646258,724.8737024221454,744.8914285714286,947.0657856937662
26,875.3977385439396,798.0628202272221,952.7128536422366,985.0706799247515,911.2408163265306,797.2016326530612,887.0954175758777,766.1765522713747,960.726643598616,899.3724007561436,897.7785698373802,822.0207612456747
27,715.6899810964082,539.8530612244898,696.1209829867674,606.6661224489795,686.0865051903114,586.82797731569,810.6773964497041,733.3434319526627,1016.8402366863905,705.3010380622837,866.373046875,695.8863905325444
28,795.6597353497165,758.782802405881,777.5425330812855,650.9137075976989,761.686530612245,700.1039476294385,903.0986159169549,750.1077551020409,971.3771626297578,1009.5866702499328,939.9820408163266,985.9607632356893
29,756.3356476889506,704.4459432652251,915.1410911045418,709.1159169550174,772.5217391304348,668.3510204081633,1035.9399999999998,800.0841102955762,953.6198347107438,864.3175803402646,960.2840236686391,651.8055555555555
30,731.281663516068,735.3373702422145,900.5067509336398,725.076124567474,693.905177544138,694.9948763644464,815.3049676988193,743.500945179584,780.9008687903764,794.3517159763314,806.2295857988165,619.4497959183674
31,779.8714555765595,702.6851211072665,710.9875024796667,725.8079584775087,764.2993079584776,724.3796449704142,919.6402366863906,800.6484375,829.2926006744693,913.60546875,965.0793650793651,688.7204919658798
32,983.4842975206612,982.6848,938.6400854396582,747.0956621660443,963.3494809688581,797.42,1300.0090538705297,610.1360841102955,1201.107266435986,1040.0246913580247,1234.255726780508,1287.2736000000002
33,1092.32,869.76,857.3727435032731,739.7750865051903,1003.6170655567117,921.7959183673469,1311.1740833036665,1154.7133884297523,1234.4727272727273,1438.7911111111111,1320.2041420118344,798.0991735537191
34,822.5785123966942,704.1176470588235,671.5277777777778,664,806.4574669187145,687.4350327316008,957.0802366863905,727.4117647058823,797.4220408163266,769.6586982248521,886.921875,879.134765625
35,731.0322580645161,892.9127803488785,754.2021301775147,742.5487528344671,674.4952741020794,664.7176331360947,843.99609375,797.9501133786847,934.2418845159438,801.9263638806773,797.305785123967,702.7941176470589
36,920.1051459122299,876.2698224852071,843.8356401384084,965.9313215400623,1054.0941828254847,1605.469387755102,1216.06648199446,1210.6377551020407,1344.6479289940828,1174.1459594161622,1370.2145328719723,1153.218836565097
37,706.0415879017013,643.9204152249135,763.3610822060353,680.1415192507803,751.9504132231405,780.9107142857142,714.1453287197232,990.75,813.9260204081633,684.73828125,750.1133786848073,648.6986982248521
38,764.3755102040816,725.6458008465137,815.305785123967,754.7936507936508,809.3140828402367,645.4139886578449,995.151840902983,667.9389010117039,981.97775147929,967.0174684224671,1069.3,1104.2538842975207
39,924.4629585798816,816.8925619834712,855.8638941398865,1055.0796694214878,878.3305785123968,860.0090702947846,978.654674556213,845.2020494542213,995.0247933884298,1087.6913265306123,998.8782518210197,827.859375
40,851.16796875,662.0826446280992,787.5206611570248,897.7506925207756,701.3534693877551,665.8016528925621,840.3903987304107,829.048047337278,791.0216083760303,762.310546875,923.5799999999999,617.2318339100347
41,780.5825912094226,598.9207100591716,729.9173553719008,643.3947863477559,808.0737217598097,681.5650364203954,971.9642975206613,781.2444699798908,932.0997229916899,888.4579414135985,1135.875,653.9169550173011
